"id" "y" "x"
"739" 727 116 117.87
"740" 728 70 35.7
"741" 729 46 40.01
"742" 730 168 170.2
"744" 731 151 90.88
"745" 732 496 237.3
"746" 733 59 40.98
"747" 734 47 34.9
"748" 735 31 21.43
"749" 736 289 134.33
"750" 737 206 122.69
"751" 738 91 43.29
"752" 739 3 2.44
"753" 740 12 14.2
"754" 741 4 2.66
"755" 742 104 48.23
"756" 743 69 40.64
"757" 744 14 15.45
"758" 745 140 178.94
"759" 746 273 168.48
"760" 747 61 48.25
"761" 748 17 13.67
"762" 749 48 43.31
"763" 750 60 68.04
"764" 751 358 178.32
"765" 752 80 39.7
"766" 753 60 36.65
"767" 754 152 156.3
"768" 755 376 194.03
"769" 756 186 110.27
"770" 757 103 39.62
"771" 758 33 20.57
"772" 759 131 73.97
"773" 760 548 316.94
"774" 761 155 77.92
"775" 762 20 19.59
"776" 763 59 29.22
"777" 764 376 221.07
"778" 765 128 74.07
"779" 766 50 23
"780" 767 200 143.58
"781" 768 100 144.36
"782" 769 96 66.96
"783" 770 17 19.43
"784" 771 346 202.18
"785" 772 86 67.65
"786" 773 3 1.48
"787" 774 36 155.99
"788" 775 19 11.02
"789" 776 6 7.65
"790" 777 28 32.88
"791" 778 194 144.96
"792" 779 108 75.15
"793" 780 613 334.5
"794" 781 40 66.41
"795" 782 105 61.87
"796" 783 272 134.66
"797" 784 123 102.54
"798" 785 1 1.1
"799" 786 21 11.31
"800" 787 114 68.17
"801" 788 36 21.39
"802" 789 71 40.77
"803" 790 38 20.12
"804" 791 387 187.9
"805" 792 248 163.64
"806" 793 71 38.24
"807" 794 27 21.48
"808" 795 34 15.08
"809" 796 67 44.93
"810" 797 180 160.82
"811" 798 297 175.85
"812" 799 56 31.38
"813" 800 206 148.52
"814" 801 202 95.6
"815" 802 5 9.62
"816" 803 69 31.13
"817" 804 82 45.03
"818" 805 101 138.7
"819" 806 44 129.78
"820" 807 122 68.78
"821" 808 261 179.14
"822" 809 24 21.82
"823" 810 157 129.94
"824" 811 265 200.79
"825" 812 82 85.65
"826" 813 117 131.72
"827" 814 32 35.01
"828" 815 48 41.38
"829" 816 93 96.43
"830" 817 116 96.45
"831" 818 148 159.82
"832" 819 3 2.08
"833" 820 121 115.5
"834" 821 605 452.82
"835" 822 136 66.65
"836" 823 6 10.62
"837" 824 27 21.45
"838" 825 23 23.44
"839" 826 33 23.95
"840" 827 14 9.02
"841" 828 11 9.88
"842" 829 422 266.42
"843" 830 254 128.46
"844" 831 156 112.8
"845" 832 88 61.57
"846" 833 20 21.23
"847" 834 445 278.05
"848" 835 14 27.16
